geneid	symbol	lfc	AveExpr	statistic	pvalue	fdr	B	method	abs_lfc
ENSG00000178922	HYI	-5.98102567945233	0.434243702996736	-97.5656706349113	1.39005818785754e-36	2.43774504404576e-32	62.8242604437605	limma_trend_aw	5.98102567945233
ENSG00000173349	SFT2D3	-4.45494724623936	0.0630782620203698	-69.5667208354837	1.71787545408611e-32	1.5063190919154e-28	58.1737753031462	limma_trend_aw	4.45494724623936
ENSG00000136305	CIDEB	-4.19948439258298	-0.0190703029415311	-54.1965613236791	1.59075231182279e-29	9.29900776414541e-26	53.8328430340796	limma_trend_aw	4.19948439258298
ENSG00000166333	ILK	-4.78464788755936	2.39518794171635	-36.3639434844144	8.101148358926541e-25	2.97116688774412e-21	45.4282942950902	limma_trend_aw	4.78464788755936
ENSG00000168282	MGAT2	-5.3060892495965	0.959474929999242	-36.3038301676844	8.47113784496812e-25	2.97116688774412e-21	45.3904882781372	limma_trend_aw	5.3060892495965
ENSG00000142684	ZNF593	-4.01429639574935	-0.0593790028335263	-35.1070751455163	2.09228452739724e-24	6.1153989594942305e-21	44.620335677945	limma_trend_aw	4.01429639574935
ENSG00000162032	SPSB3	-5.08275347612848	0.904028889823815	-32.3258266145606	1.92775975267371e-23	4.82958896894841e-20	42.692498541169	limma_trend_aw	5.08275347612848
ENSG00000148671	ADIRF	-4.86419825539354	0.215755516477841	-31.9210915901598	2.70362315845603e-23	5.92667991623043e-20	42.3945919292716	limma_trend_aw	4.86419825539354
ENSG00000240972	MIF	-2.66042271697665	-0.317965730168663	-28.1937306244401	7.48453478495258e-22	1.45840318359682e-18	39.4154782622541	limma_trend_aw	2.66042271697665
ENSG00000169564	PCBP1	-4.52650956049774	2.23603972732027	-25.2051510227008	1.46484945436568e-20	2.5689064881210998e-17	36.6733915318293	limma_trend_aw	4.52650956049774
ENSG00000162300	ZFPL1	-2.74853302467164	1.83766072037979	-25.0577066331829	1.71050129743406e-20	2.72700556846374e-17	36.5287592104102	limma_trend_aw	2.74853302467164
ENSG00000267757	EML2-AS1	-1.21682963960936	-0.689089420511012	-24.9446785767517	1.90164636270972e-20	2.77909768857003e-17	36.4303079943413	limma_trend_aw	1.21682963960936
ENSG00000235663	SAPCD1-AS1	-1.3825524332408	-0.606443824940633	-24.307557983103	3.8142791404554104e-20	5.14546256047435e-17	35.7781280396975	limma_trend_aw	1.3825524332408
ENSG00000232284	GNG12-AS1	2.3012455912706	2.50263976310972	24.0795628358373	4.8889917735521704e-20	6.12416062377031e-17	35.5449638975884	limma_trend_aw	2.3012455912706
ENSG00000100330	MTMR3	-2.71992910654631	4.75526392221755	-22.87086841675	1.89126006331332e-19	2.21113518202171e-16	34.2677752005796	limma_trend_aw	2.71992910654631
ENSG00000102931	ARL2BP	-4.68754297613962	1.22869832776688	-22.5723355737113	2.6680302222630803e-19	2.92432787548923e-16	33.9412444755694	limma_trend_aw	4.68754297613962
ENSG00000108961	RANGRF	-2.88748732369909	0.0346783390815384	-22.0178259520305	5.11154835934708e-19	5.273013151639401e-16	33.3225091097658	limma_trend_aw	2.88748732369909
ENSG00000236200	KDM4A-AS1	2.93289608611958	1.87971702757633	21.6559940700673	7.87516266708084e-19	7.40290952740876e-16	32.9099508985087	limma_trend_aw	2.93289608611958
ENSG00000235865	GSN-AS1	3.309760594649	1.6612547583279	21.6408041810054	8.020487028611871e-19	7.40290952740876e-16	32.8924757648837	limma_trend_aw	3.309760594649
ENSG00000136867	SLC31A2	-3.22820437970675	1.35968576629606	-21.3463180927341	1.14590269588764e-18	1.0047847788890802e-15	32.5511653058792	limma_trend_aw	3.22820437970675
ENSG00000226312	CFLAR-AS1	3.80536124623691	2.0748242388549	20.6862923797591	2.5908840372755397e-18	2.1636349219857703e-15	31.7683628166792	limma_trend_aw	3.80536124623691
ENSG00000255737	AGAP2-AS1	-2.27839271676729	0.0633212829689012	-20.1938375627493	4.83465513669337e-18	3.8001220448517205e-15	31.1676555121101	limma_trend_aw	2.27839271676729
